id,name,email,phone,country,address,birth_date
a071d893-4a26-4a75-a8a1-a7002eb48b72,Brad Summers,hnorman@example.org,492.315.2052,Congo,"88312 Jeremy Trail Suite 200, Brennanborough, FL 92199",2005-04-10
23e76cbb-855c-4cb8-8ec7-9e918bcd5795,Amy Mayer,james88@example.net,612.254.5418,Afghanistan,"71977 Michael Mission Suite 405, Deborahbury, MI 09018",1969-07-30
529719ab-7589-40c0-9e67-a34a349fe099,Sandra Cole,mcgrathrichard@example.net,649.469.8714x123,Grenada,"06811 Coffey Pass Apt. 120, Lake Joseph, TX 72242",1972-04-20
df88432f-f740-4ef3-b77d-d1e80c52ff1b,Mrs. Sandra Stewart,david61@example.com,+1-810-482-5229x1611,North Macedonia,"PSC 1708, Box 3783, APO AP 47764",1986-11-03
2ebfc2d6-d96b-4241-94f3-805644132809,Sean Barnes,yhall@example.net,611.965.4187x39943,South Georgia and the South Sandwich Islands,"118 Garcia Landing, Smithville, AL 82868",1945-07-03
6792343b-ec04-4cd1-89b9-97c565de994d,Daniel Savage,lduarte@example.org,748.364.1232x68881,Tajikistan,"9683 Kevin Islands Apt. 931, New Alyssa, OH 18846",1949-07-23
3198a4da-0995-4afb-80bb-79e958547f2b,Alexis Wilson,ymarquez@example.net,641.739.1055x326,Cuba,"0312 Brandon Circles, Lake Maryland, GU 13102",1987-09-08
0d437f06-393e-42cc-8995-123ac4df26fa,Jacqueline Rice,morrismonique@example.org,(273)214-5355x787,Reunion,"0514 Gonzalez Mountains, Port Laurenmouth, VI 90120",1967-06-01
6aeef49c-3919-4467-a979-ee530c910ff6,Don Schroeder,lewiskristy@example.org,488.231.1198,French Guiana,"4310 Conway Greens Apt. 436, Amandaberg, RI 10145",1979-09-29
78d0f23e-d126-470a-a972-23501f56e516,Diana Olsen,tayloranderson@example.com,974-245-6919,Libyan Arab Jamahiriya,"687 Kyle Orchard Suite 494, Greenchester, AL 07774",1979-05-24
